TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,VISIT_AREA_ID,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
c_c002243,경기전,전라북도,전주시,2.0,4.0,2.0,4.0,60.0,0,2209170006.0,c002243,23,여,20,4,3,2,1,4,3,3,2,6,1.0,4,1
c_c009488,강진만생태공원,전라남도,강진군,1.0,4.0,4.0,5.0,60.0,0,2210290008.0,c009488,9,여,30,3,7,1,1,1,1,1,2,7,1.0,2,0
c_c005125,경기전,전라북도,전주시,2.0,4.0,4.0,4.0,150.0,0,2210080005.0,c005125,4,남,20,4,2,2,4,1,5,2,2,2,9.0,4,1
c_c005125,전주향교,전라북도,전주시,2.0,4.0,4.0,4.0,60.0,0,2210090002.0,c005125,4,남,20,4,2,2,4,1,5,2,2,2,9.0,4,1
c_c005125,오목대,전라북도,전주시,2.0,4.0,4.0,4.0,30.0,0,2210080007.0,c005125,4,남,20,4,2,2,4,1,5,2,2,2,9.0,4,1
c_c002797,한밭수목원,대전광역시,서구,1.0,1.0,5.0,5.0,30.0,1,2209240003.0,c002797,2,남,30,4,4,2,1,1,3,2,5,3,1.0,2,0
c_c002797,둔산선사유적지,대전광역시,서구,2.0,1.0,5.0,5.0,30.0,1,2209250003.0,c002797,2,남,30,4,4,2,1,1,3,2,5,3,1.0,2,0
c_c004031,순천만습지,전라남도,순천시,1.0,4.0,4.0,4.0,120.0,1,2210230004.0,c004031,21,남,30,5,5,3,2,2,3,6,7,7,3.0,4,1
c_c004031,순천만국가정원,전라남도,순천시,1.0,5.0,5.0,4.0,150.0,1,2210230003.0,c004031,21,남,30,5,5,3,2,2,3,6,7,7,3.0,4,1
c_c009007,곡교천,충청남도,아산시,1.0,4.0,5.0,5.0,60.0,0,2210290004.0,c009007,27,남,20,4,4,2,2,5,6,6,6,4,1.0,1,1
c_c009007,현충사 충무공이순신기념관,충청남도,아산시,2.0,5.0,4.0,4.0,60.0,0,2210290002.0,c009007,27,남,20,4,4,2,2,5,6,6,6,4,1.0,1,1
c_c003315,상화원,충청남도,보령시,2.0,4.0,3.0,4.0,120.0,0,2210300001.0,c003315,8,여,30,3,4,2,1,5,5,3,3,6,5.0,1,3
c_c003315,춘장대해수욕장,충청남도,서천군,1.0,4.0,5.0,4.0,30.0,1,2210290002.0,c003315,8,여,30,3,4,2,1,5,5,3,3,6,5.0,1,3
c_c008859,상당산성,충청북도,청주시,1.0,5.0,5.0,5.0,90.0,1,2211060005.0,c008859,22,여,30,5,2,6,2,4,2,2,2,6,1.0,1,0
c_c002986,상하농원,전라북도,고창군,13.0,5.0,5.0,5.0,60.0,0,2209230001.0,c002986,21,여,30,4,2,2,1,6,6,6,2,6,1.0,15,4
c_c002986,담양관방제림,전라남도,담양군,7.0,5.0,5.0,5.0,30.0,0,2209220007.0,c002986,21,여,30,4,2,2,1,6,6,6,2,6,1.0,15,4
c_c002986,경암동철길마을,전라북도,군산시,7.0,5.0,5.0,5.0,120.0,0,2209240003.0,c002986,21,여,30,4,2,2,1,6,6,6,2,6,1.0,15,4
c_c002986,채석강,전라북도,부안군,1.0,5.0,5.0,5.0,30.0,0,2209240001.0,c002986,21,여,30,4,2,2,1,6,6,6,2,6,1.0,15,4
c_c002986,상하농원,전라북도,고창군,13.0,4.0,3.0,3.0,90.0,0,2209230003.0,c002986,21,여,30,4,2,2,1,6,6,6,2,6,1.0,15,4
c_c002986,죽녹원,전라남도,담양군,2.0,5.0,5.0,5.0,60.0,0,2209220005.0,c002986,21,여,30,4,2,2,1,6,6,6,2,6,1.0,15,4
c_c004314,왕궁리유적,전라북도,익산시,2.0,4.0,3.0,4.0,30.0,0,2210010005.0,c004314,25,여,20,4,2,2,1,5,5,5,3,6,7.0,3,0
c_c003135,청남대,충청북도,청주시,2.0,5.0,5.0,5.0,90.0,0,2210020002.0,c003135,3,여,30,5,1,1,1,4,4,1,4,1,1.0,1,0
c_c003135,문경새재오픈세트장,경상북도,문경시,2.0,5.0,5.0,5.0,30.0,0,2210010005.0,c003135,3,여,30,5,1,1,1,4,4,1,4,1,1.0,1,0
c_c003135,봉천사,경상북도,문경시,2.0,2.0,1.0,2.0,60.0,0,2210010008.0,c003135,3,여,30,5,1,1,1,4,4,1,4,1,1.0,1,0
c_c001835,벽골제마을,전라북도,김제시,7.0,5.0,5.0,5.0,300.0,0,2209030005.0,c001835,5,여,40,2,4,4,4,4,4,4,4,4,8.0,1,2
c_c012319,공주한옥마을,충청남도,공주시,7.0,4.0,4.0,3.0,30.0,0,2211060004.0,c012319,3,여,30,4,4,3,4,1,3,4,1,6,1.0,3,0
c_c012319,무령왕릉,충청남도,공주시,2.0,3.0,3.0,3.0,30.0,0,2211060005.0,c012319,3,여,30,4,4,3,4,1,3,4,1,6,1.0,3,0
c_c011641,메타프로방스,전라남도,담양군,6.0,4.0,4.0,4.0,30.0,0,2210310005.0,c011641,2,여,20,4,3,4,1,5,4,5,3,7,2.0,1,1
c_c011641,담양관방제림,전라남도,담양군,1.0,5.0,5.0,4.0,30.0,1,2210310003.0,c011641,2,여,20,4,3,4,1,5,4,5,3,7,2.0,1,1
c_c005708,독립기념관,충청남도,천안시,2.0,5.0,5.0,5.0,90.0,1,2210160005.0,c005708,22,여,20,4,4,3,1,1,6,6,7,5,2.0,2,1
a_a012449,배론성지,충청북도,제천시,2.0,4.0,4.0,5.0,210.0,0,2210300002.0,a012449,24,여,50,3,2,2,1,2,2,2,2,3,7.0,5,1
a_a012449,도담삼봉,충청북도,단양군,1.0,3.0,3.0,3.0,60.0,1,2210300005.0,a012449,24,여,50,3,2,2,1,2,2,2,2,3,7.0,5,1
a_a012449,단양강잔도,충청북도,단양군,1.0,4.0,4.0,2.0,240.0,0,2210310001.0,a012449,24,여,50,3,2,2,1,2,2,2,2,3,7.0,5,1
a_a012449,만천하스카이워크,충청북도,단양군,7.0,4.0,3.0,5.0,120.0,0,2210300003.0,a012449,24,여,50,3,2,2,1,2,2,2,2,3,7.0,5,1
c_c012828,순천만습지,전라남도,순천시,1.0,5.0,5.0,5.0,90.0,0,2211030001.0,c012828,21,여,20,1,2,2,2,5,2,3,6,1,3.0,1,2
c_c012828,싱싱게장마을,전라남도,여수시,7.0,4.0,4.0,4.0,60.0,0,2211020002.0,c012828,21,여,20,1,2,2,2,5,2,3,6,1,3.0,1,2
c_c014392,순천만습지,전라남도,순천시,1.0,4.0,5.0,5.0,180.0,0,2211120002.0,c014392,22,여,30,4,1,2,2,3,3,2,3,3,1.0,1,3
c_c011229,전주한옥마을,전라북도,전주시,7.0,5.0,5.0,5.0,30.0,1,2211020001.0,c011229,24,여,20,4,1,1,1,4,1,1,1,7,3.0,3,1
c_c011229,전주난장,전라북도,전주시,3.0,5.0,5.0,5.0,90.0,0,2211020002.0,c011229,24,여,20,4,1,1,1,4,1,1,1,7,3.0,3,1
c_c001873,오목대,전라북도,전주시,2.0,4.0,3.0,3.0,30.0,0,2208270006.0,c001873,2,여,40,1,1,4,2,3,6,2,6,4,8.0,4,3
c_c001873,전주동물원,전라북도,전주시,6.0,4.0,4.0,4.0,90.0,0,2208270003.0,c001873,2,여,40,1,1,4,2,3,6,2,6,4,8.0,4,3
c_c001873,경기전,전라북도,전주시,2.0,4.0,3.0,3.0,60.0,0,2208270005.0,c001873,2,여,40,1,1,4,2,3,6,2,6,4,8.0,4,3
c_c008808,국립중앙과학관,대전광역시,유성구,3.0,5.0,5.0,5.0,90.0,0,2210230005.0,c008808,3,여,60,6,5,1,2,3,5,6,6,7,8.0,4,3
c_c008808,국립대전현충원,대전광역시,유성구,2.0,5.0,5.0,5.0,90.0,1,2210230004.0,c008808,3,여,60,6,5,1,2,3,5,6,6,7,8.0,4,3
c_c010947,지중해마을,충청남도,아산시,7.0,4.0,4.0,4.0,120.0,0,2210300002.0,c010947,3,여,40,2,4,5,2,2,6,6,2,6,3.0,3,3
c_c010947,현충사,충청남도,아산시,2.0,4.0,4.0,3.0,60.0,0,2210300005.0,c010947,3,여,40,2,4,5,2,2,6,6,2,6,3.0,3,3
c_c009358,청풍호반케이블카 비봉산역,충청북도,제천시,6.0,5.0,4.0,4.0,150.0,1,2211050003.0,c009358,6,남,40,10,2,3,3,4,5,4,5,3,1.0,1,3
c_c014332,익산미륵사지,전라북도,익산시,2.0,4.0,2.0,5.0,30.0,0,2211090005.0,c014332,3,여,20,2,3,2,1,7,4,2,2,4,2.0,4,0
c_c014332,국립익산박물관,전라북도,익산시,2.0,5.0,5.0,5.0,30.0,0,2211090004.0,c014332,3,여,20,2,3,2,1,7,4,2,2,4,2.0,4,0
d_d006707,석종사,충청북도,충주시,2.0,5.0,5.0,5.0,60.0,0,2210230005.0,d006707,3,여,30,4,3,2,3,4,3,5,5,7,3.0,1,1
c_c013920,곡교천,충청남도,아산시,7.0,3.0,3.0,4.0,60.0,0,2211050006.0,c013920,3,여,30,4,1,1,3,2,4,2,6,6,3.0,4,1
c_c013920,외암민속마을,충청남도,아산시,7.0,5.0,5.0,5.0,30.0,0,2211050005.0,c013920,3,여,30,4,1,1,3,2,4,2,6,6,3.0,4,1
c_c001282,이순신공원,전라남도,여수시,1.0,5.0,5.0,5.0,60.0,0,2209040005.0,c001282,23,여,20,5,1,3,3,1,3,4,2,7,2.0,4,3
c_c012479,전주향교,전라북도,전주시,2.0,4.0,3.0,4.0,30.0,0,2211030003.0,c012479,3,여,30,3,1,1,1,1,4,4,1,4,2.0,1,1
c_c012479,오목대,전라북도,전주시,2.0,5.0,3.0,5.0,30.0,0,2211030004.0,c012479,3,여,30,3,1,1,1,1,4,4,1,4,2.0,1,1
c_c012479,전라감영,전라북도,전주시,2.0,5.0,5.0,5.0,30.0,0,2211040005.0,c012479,3,여,30,3,1,1,1,1,4,4,1,4,2.0,1,1
c_c012479,경기전,전라북도,전주시,2.0,5.0,5.0,5.0,30.0,0,2211030006.0,c012479,3,여,30,3,1,1,1,1,4,4,1,4,2.0,1,1
c_c001739,오동도,전라남도,여수시,1.0,5.0,5.0,5.0,90.0,1,2208280003.0,c001739,22,여,20,1,3,5,5,2,2,6,3,6,1.0,5,1
c_c001739,고소동벽화마을,전라남도,여수시,7.0,5.0,5.0,5.0,60.0,0,2208270013.0,c001739,22,여,20,1,3,5,5,2,2,6,3,6,1.0,5,1
c_c001739,돌산공원,전라남도,여수시,1.0,3.0,2.0,3.0,30.0,0,2208270009.0,c001739,22,여,20,1,3,5,5,2,2,6,3,6,1.0,5,1
c_c011725,전주한옥마을,전라북도,전주시,7.0,3.0,2.0,3.0,240.0,0,2210280006.0,c011725,4,남,30,4,6,4,3,4,5,5,5,3,3.0,3,3
