SIDO,VISIT_AREA_NM,GUNGU,VISIT_AREA_TYPE_CD,VISIT_AREA_ID,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
충청남도,원더플레이스 천안신부점,천안시,3.0,2210250002.0,90.0,4.0,0.0,0.0,4.0
전라북도,덕진연못,전주시,1.0,2210010005.0,30.0,5.0,0.0,1.0,4.0
충청북도,만천하스카이워크 스카이워크전망대,단양군,7.0,2210030007.0,60.0,5.0,0.0,1.0,5.0
충청남도,전견훤묘,논산시,2.0,2210060004.0,30.0,3.0,0.0,1.0,2.0
충청남도,덕산온천 족욕장,예산군,13.0,2210020002.0,30.0,4.0,0.0,0.0,4.0
충청남도,오서산,보령시,1.0,2210020001.0,180.0,4.0,0.0,1.0,4.0
전라북도,매창공원,부안군,3.0,2210010002.0,90.0,4.0,0.0,3.0,4.0
전라남도,싱싱게장마을,여수시,7.0,2210100003.0,60.0,4.5,0.5,3.0,4.5
대전광역시,트래블라운지,동구,3.0,2209280006.0,45.0,4.0,0.0,0.5,4.5
충청남도,당진필경사,당진시,2.0,2210010003.0,60.0,5.0,0.0,0.0,4.0
충청남도,한진포구 전망대,당진시,7.0,2210020002.0,60.0,3.0,0.0,1.0,3.0
충청남도,백월산,홍성군,1.0,2210140004.0,30.0,1.0,0.0,1.0,1.0
충청남도,덕산싸이판온천,예산군,6.0,2210130004.0,150.0,4.0,0.0,1.0,4.0
충청남도,이응노의집,홍성군,3.0,2210140005.0,30.0,4.0,0.0,1.0,4.0
전라남도,백길해수욕장,신안군,1.0,2210020003.0,45.0,4.5,0.0,3.0,4.5
전라북도,국립태권도박물관,무주군,2.0,2210090005.0,120.0,3.0,0.0,2.0,3.0
전라북도,태권도원 모노레일승강장,무주군,13.0,2210100003.0,30.0,3.0,0.0,2.0,1.0
전라북도,태권도원 평원관,무주군,3.0,2210100002.0,90.0,5.0,0.0,2.0,5.0
충청남도,웅진백제역사관,공주시,2.0,2210060005.0,60.0,5.0,0.0,3.0,5.0
충청남도,공주산림휴양마을,공주시,7.0,2210070002.0,30.0,5.0,0.0,3.0,5.0
충청남도,백제오감체험관,공주시,13.0,2210060004.0,60.0,3.5,0.0,3.0,3.0
충청남도,공주산림휴양마을 목재문화체험관,공주시,13.0,2210070001.0,60.0,5.0,0.0,3.0,4.0
충청남도,공주 무령왕릉과 왕릉원,공주시,2.0,2210060006.0,90.0,5.0,0.0,1.5,5.0
전라남도,성옥기념관,목포시,3.0,2210110005.0,45.0,4.0,0.0,1.5,4.0
전라남도,목포 근대역사문화공간,목포시,2.0,2210110004.0,45.0,3.5,0.0,1.5,3.5
충청남도,그림같은수목원,홍성군,1.0,2210020003.0,60.0,3.0,0.0,1.0,3.0
충청남도,대통사지,공주시,2.0,2210010004.0,30.0,1.0,0.0,1.0,2.0
전라남도,나주철도공원,나주시,1.0,2210040005.0,60.0,3.0,0.0,0.0,3.0
충청남도,공산성 방문자센터,공주시,3.0,2210160007.0,30.0,5.0,0.0,3.0,5.0
강원도,의암류인석기념관,춘천시,2.0,2210140003.0,60.0,5.0,0.0,0.0,5.0
대전광역시,우암사적공원 남간정사,동구,1.0,2210070007.0,30.0,3.0,0.0,0.0,2.0
대전광역시,유림공원,유성구,8.0,2210070003.0,47.142857142857146,4.285714285714286,0.0,0.4285714285714285,4.0
전라북도,교동육전,전주시,13.0,2209290007.0,30.0,5.0,0.0,2.0,4.0
충청북도,그네공원,제천시,1.0,2210290001.0,60.0,3.0,0.0,3.0,3.0
대전광역시,유성국화축제,유성구,8.0,2210210006.0,60.0,4.5,0.0,1.0,4.0
전라남도,천개의향나무숲,구례군,6.0,2210090004.0,150.0,5.0,0.0,0.0,5.0
전라남도,백련사,강진군,2.0,2210210003.0,45.0,5.0,0.0,8.0,5.0
전라남도,두륜산케이블카,해남군,6.0,2210220004.0,60.0,5.0,0.0,15.0,5.0
전라남도,저두출렁다리,강진군,6.0,2210210005.0,30.0,4.0,0.0,15.0,3.0
전라남도,고려청자박물관,강진군,2.0,2210210007.0,60.0,4.0,0.0,15.0,5.0
전라남도,영랑생가,강진군,1.0,2210210002.0,30.0,5.0,0.0,15.0,4.0
전라남도,무등산 규봉암,화순군,2.0,2210110003.0,30.0,4.0,0.0,0.0,4.0
충청북도,발산공원,청주시,1.0,2210230002.0,30.0,3.5,0.0,0.5,2.5
충청남도,시루굴,서천군,7.0,2210300001.0,75.0,5.0,0.5,0.0,5.0
충청북도,수생식물학습원,옥천군,1.0,2209290005.0,90.0,4.8,0.2,1.2,4.6
전라남도,슈가브리움 슈가요트마리나,여수시,3.0,2210010004.0,30.0,4.0,0.0,1.0,4.0
충청북도,노근리평화공원 사건현장,영동군,2.0,2210060005.0,60.0,5.0,0.0,3.0,5.0
충청북도,과일나라테마공원 레인보우식물원,영동군,6.0,2210060006.0,30.0,2.0,0.0,3.0,3.0
충청북도,월류봉,영동군,2.0,2210060003.0,50.0,3.6666666666666665,0.3333333333333333,1.0,3.6666666666666665
충청북도,영동레인보우힐링관광지,영동군,8.0,2210060007.0,90.0,3.0,0.0,3.0,3.0
전라북도,모던타임즈,군산시,3.0,2210020008.0,60.0,4.0,0.0,1.0,3.0
전라남도,석주관칠의사묘,구례군,2.0,2210030002.0,30.0,5.0,0.0,0.0,5.0
전라남도,원송강변 자연발생유원지,구례군,7.0,2210030001.0,30.0,5.0,0.0,0.0,5.0
전라남도,국동항수변공원,여수시,1.0,2210140001.0,30.0,5.0,0.0,2.0,5.0
전라남도,화순양참사댁,화순군,13.0,2210290007.0,60.0,5.0,0.0,0.0,5.0
전라남도,세량제,화순군,1.0,2210300003.0,30.0,4.333333333333333,0.0,1.0,4.333333333333333
전라남도,화순고인돌선사체험장,화순군,13.0,2210290006.0,30.0,5.0,0.0,0.0,5.0
충청북도,괴산 농업역사박물관,괴산군,2.0,2210220001.0,90.0,4.0,0.0,3.0,4.0
전라북도,월명동성당,군산시,2.0,2209300025.0,60.0,5.0,0.0,0.0,5.0
충청남도,물안지,서산시,1.0,2210020002.0,60.0,4.0,1.0,0.0,4.0
전라북도,부안누에타운,부안군,3.0,2210080003.0,60.0,4.0,0.0,2.5,4.0
충청남도,아산그린타워,아산시,1.0,2210020003.0,30.0,5.0,0.0,3.0,5.0
충청남도,아산 환경과학공원,아산시,3.0,2210020002.0,90.0,5.0,0.0,3.0,5.0
충청남도,청수제2공원,천안시,1.0,2210020001.0,60.0,3.0,0.0,0.0,3.0
전라북도,삼례성당,완주군,2.0,2210050004.0,30.0,3.0,0.0,0.0,3.0
전라북도,삼례문화예술촌 문화예술카페,완주군,3.0,2210050003.0,30.0,4.0,1.0,0.0,4.0
전라북도,비비정 정자,완주군,2.0,2210050002.0,30.0,4.0,1.0,0.0,4.0
전라남도,여수뮤지엄오브컬러,여수시,3.0,2210060004.0,30.0,3.0,0.0,1.0,3.0
충청남도,공주알밤농원,공주시,13.0,2210020003.0,90.0,4.0,0.0,2.0,4.0
전라남도,옥단이길,목포시,7.0,2210110008.0,30.0,3.0,0.0,0.0,2.0
충청남도,각원사,천안시,2.0,2210230003.0,45.0,5.0,0.0,0.5,5.0
충청남도,상록리조트 상록랜드,천안시,6.0,2210010004.0,210.0,4.0,1.0,3.0,4.0
대전광역시,도안문화공원,유성구,1.0,2210010002.0,30.0,1.0,0.0,3.0,2.0
전라북도,곡주마을,전주시,7.0,2210140010.0,150.0,4.0,0.0,1.0,4.0
전라북도,학산숲속시집도서관,전주시,3.0,2210150003.0,90.0,4.0,0.0,1.0,4.0
충청남도,왕대사,보령시,2.0,2210060005.0,60.0,5.0,0.0,1.0,4.0
충청북도,초정행궁,청주시,2.0,2210250001.0,30.0,3.0,0.0,1.0,4.0
충청북도,동학농민혁명기념공원,보은군,1.0,2210300004.0,60.0,3.0,0.0,0.0,3.0
충청북도,보은 삼년산성,보은군,2.0,2210300002.0,60.0,4.0,0.0,1.3333333333333333,3.6666666666666665
충청남도,기지포해수욕장,태안군,1.0,2210020005.0,45.0,4.0,0.0,1.5,4.0
충청남도,모개섬,서산시,7.0,2210020002.0,30.0,4.0,0.0,3.0,4.0
전라남도,고흥갑재민속전시관,고흥군,3.0,2210080005.0,30.0,3.0,0.0,0.0,3.0
전라남도,고흥만방조제,고흥군,1.0,2210080004.0,60.0,4.0,0.0,0.0,3.0
전라남도,개구리생태공원 에코센터,담양군,6.0,2210080005.0,60.0,4.0,0.0,3.0,4.0
충청남도,화이트블럭 천안창작촌,천안시,3.0,2210080002.0,300.0,3.0,1.0,0.0,4.0
충청북도,제비봉,단양군,1.0,2210140003.0,210.0,5.0,0.0,1.0,5.0
충청북도,고운골남한강갈대숲,단양군,7.0,2210250008.0,60.0,3.0,0.0,1.0,3.0
광주광역시,국립아시아문화전당 예술극장,동구,3.0,2210070006.0,240.0,5.0,0.0,1.0,5.0
충청북도,국립현대미술관 청주,청주시,3.0,2210300004.0,105.0,3.75,0.0,1.25,3.75
충청북도,근현대인쇄전시관,청주시,3.0,2210300003.0,60.0,5.0,0.0,3.0,5.0
전라남도,흥국사,여수시,2.0,2210230003.0,60.0,5.0,0.0,2.0,5.0
충청북도,진천종박물관,진천군,2.0,2210260001.0,60.0,5.0,0.0,4.0,5.0
충청북도,하늘다리,진천군,1.0,2210260008.0,30.0,5.0,0.5,2.5,5.0
충청북도,진천향교,진천군,2.0,2210260002.0,30.0,3.0,0.0,4.0,3.0
충청남도,영인산수목원,아산시,1.0,2210310002.0,60.0,4.0,0.0,0.0,4.0
전라북도,국립공원공단 내장산생태탐방원,정읍시,1.0,2210280002.0,120.0,4.5,0.0,0.0,4.5
광주광역시,기분좋은극장,서구,3.0,2210020004.0,120.0,5.0,0.0,0.0,5.0
충청북도,토성마을,청주시,7.0,2210020002.0,90.0,4.0,0.0,1.0,4.0
충청북도,문암생태공원 수목원,청주시,1.0,2210020003.0,60.0,4.0,0.0,1.0,4.0
전라북도,강천산군립공원,순창군,1.0,2210090004.0,90.0,4.0,0.5,4.0,4.5
전라북도,국립무형유산원,전주시,2.0,2210020009.0,30.0,5.0,0.0,2.0,5.0
전라북도,국립무형유산원 얼쑤마루대공연장,전주시,3.0,2210020010.0,150.0,3.0,0.0,2.0,3.0
전라북도,순창전통고추장마을,순창군,7.0,2210160003.0,75.0,4.5,0.5,5.0,4.5
충청북도,새터농원,충주시,13.0,2210030002.0,60.0,4.0,0.0,2.0,4.0
전라남도,필통게임랜드,나주시,6.0,2210160007.0,150.0,3.0,0.0,0.0,3.0
전라남도,빛가람전망대,나주시,7.0,2210160005.0,50.0,3.6666666666666665,0.0,0.3333333333333333,3.333333333333333
전라남도,송광사,순천시,2.0,2210090003.0,130.0,4.666666666666667,0.3333333333333333,1.0,4.666666666666667
충청북도,단양적성비,단양군,2.0,2210090007.0,30.0,4.0,0.0,3.0,4.0
충청북도,온달문화축제,단양군,8.0,2210090005.0,90.0,4.0,0.0,3.0,4.0
충청남도,유구핑크뮬리정원,공주시,1.0,2210290007.0,30.0,3.5,0.0,0.5,3.5
충청남도,유구색동수국정원,공주시,1.0,2210290006.0,60.0,2.0,0.0,1.0,4.0
전라북도,용궐산 하늘길,순창군,1.0,2210290002.0,120.0,4.5,0.0,1.0,4.5
전라북도,무성서원,정읍시,2.0,2210300004.0,30.0,4.0,0.0,1.0,3.0
전라북도,채계산 출렁다리,순창군,1.0,2210290003.0,75.0,4.5,0.5,1.5,4.0
경상북도,천주교우곡성지,봉화군,2.0,2210160002.0,240.0,5.0,0.0,2.0,5.0
충청남도,아그로랜드태신목장 캠핑장,예산군,1.0,2210020006.0,90.0,5.0,0.0,1.0,5.0
충청남도,합덕성당,당진시,2.0,2210020008.0,40.0,4.333333333333333,0.3333333333333333,0.6666666666666666,3.333333333333333
충청남도,오시유,천안시,13.0,2210030003.0,420.0,4.0,0.0,1.0,3.0
전라북도,액션하우스,익산시,13.0,2210080002.0,90.0,4.0,0.0,3.0,3.0
전라남도,여수세계박람회장 아이뮤지엄,여수시,3.0,2210220007.0,120.0,5.0,0.0,3.0,3.0
전라남도,여수세계박람회 엑스포광장,여수시,6.0,2210220008.0,30.0,3.0,0.0,3.0,2.0
전라남도,팡팡플레이존,여수시,6.0,2210220009.0,90.0,3.0,0.0,3.0,2.0
전라남도,고흥분청문화박물관,고흥군,2.0,2210090002.0,120.0,5.0,0.0,9.0,5.0
전라남도,와온해변 일몰전망대,순천시,1.0,2210170001.0,60.0,4.0,0.0,0.0,3.0
충청남도,입암저수지,계룡시,1.0,2210160004.0,120.0,4.0,0.5,1.0,4.5
충청남도,2022계룡세계군문화엑스포,계룡시,6.0,2210160003.0,157.5,3.5,0.5,1.75,3.25
전라북도,용안생태습지공원,익산시,1.0,2210220001.0,60.0,4.0,0.0,3.0,4.0
전라북도,신흥근린공원,익산시,1.0,2210210003.0,60.0,4.0,0.0,3.0,4.0
전라남도,영산강문화공원,담양군,7.0,2210020007.0,30.0,2.0,0.0,1.0,2.0
광주광역시,광주미디어아트플랫폼 GMAP,남구,3.0,2210150005.0,90.0,5.0,0.0,1.0,5.0
충청북도,용암사,옥천군,2.0,2210100003.0,90.0,5.0,0.0,0.0,5.0
충청북도,화인산림욕장,옥천군,7.0,2210100004.0,90.0,4.5,0.0,0.75,4.25
충청남도,미나릿길벽화마을,천안시,7.0,2210080006.0,40.0,4.0,0.0,0.0,3.333333333333333
충청남도,태조산,천안시,1.0,2210080009.0,90.0,5.0,0.0,0.0,5.0
경상남도,한려해상국립공원,남해군,1.0,2210080002.0,30.0,4.0,0.0,2.0,5.0
충청남도,공방고운,천안시,13.0,2210150003.0,60.0,4.0,0.0,0.0,4.0
충청남도,원조할머니딸 숯불곱창마을,예산군,7.0,2210090006.0,120.0,5.0,0.0,1.0,5.0
충청북도,탁사정,제천시,2.0,2210020004.0,30.0,5.0,0.0,1.0,4.0
충청남도,안흥항구낚시프라자,태안군,13.0,2210090002.0,360.0,4.0,0.0,1.0,3.0
전라남도,경동성당,목포시,2.0,2210100002.0,30.0,4.0,0.0,1.0,3.0
충청남도,비인오층석탑,서천군,2.0,2210150005.0,30.0,3.0,0.0,0.0,3.0
충청남도,슴갈목,서천군,7.0,2210160003.0,120.0,4.0,0.0,0.0,4.0
충청남도,대명산,논산시,1.0,2210080005.0,60.0,4.0,0.0,0.0,4.0
충청남도,개태사,논산시,2.0,2210080009.0,30.0,3.0,0.0,0.0,3.0
전라남도,다향아트밸리,보성군,13.0,2210090002.0,60.0,5.0,0.0,2.0,5.0
전라남도,몽중산다원,보성군,1.0,2210090003.0,210.0,5.0,0.0,3.0,5.0
충청북도,소백산자락길 5자락,단양군,7.0,2210300004.0,30.0,5.0,0.0,4.0,5.0
전라남도,유달산일주도로 및 둘레숲길 유달산등산,목포시,7.0,2210080005.0,120.0,4.0,0.0,0.0,3.0
전라남도,우리들의블루스 촬영지,목포시,2.0,2210080009.0,30.0,3.0,0.0,0.0,2.0
충청북도,제천한방엑스포공원,제천시,6.0,2210070004.0,120.0,5.0,0.0,1.0,5.0
충청북도,박달재,제천시,1.0,2210080003.0,60.0,5.0,0.0,1.0,4.0
충청북도,의병광장,제천시,8.0,2210080001.0,60.0,4.0,0.0,1.0,4.0
서울특별시,청와대 춘추관,종로구,2.0,2210220004.0,30.0,5.0,0.0,1.0,5.0
전라남도,목포스카이워크,목포시,6.0,2210140008.0,30.0,3.0,0.0,0.0,3.5
전라북도,삼례문화예술촌,완주군,3.0,2210190003.0,90.0,5.0,0.0,0.0,5.0
전라북도,완주힐조타운,완주군,1.0,2210100003.0,180.0,4.0,0.0,1.0,5.0
전라남도,배알도,광양시,1.0,2210070005.0,30.0,4.0,0.0,0.0,3.0
전라남도,윤동주 유고보존정병욱가옥,광양시,3.0,2210070004.0,30.0,4.0,0.0,0.0,3.0
광주광역시,국립아시아문화전당 하늘마당,동구,8.0,2210100003.0,30.0,4.333333333333333,0.3333333333333333,0.3333333333333333,4.0
광주광역시,뉴이스케이프,동구,3.0,2210100004.0,90.0,4.0,0.0,0.0,4.0
전라남도,보성뻘배전시관,보성군,3.0,2210080003.0,90.0,4.0,1.0,3.0,4.0
전라남도,월곡영화골벽화마을,보성군,7.0,2210080005.0,30.0,3.0,0.0,3.0,3.0
전라북도,임실치즈테마파크 체험관,임실군,13.0,2210100002.0,120.0,4.0,0.0,3.0,4.0
전라북도,사선정,임실군,2.0,2210090002.0,60.0,4.0,0.0,3.0,3.0
전라북도,임실n치즈축제,임실군,8.0,2210100003.0,120.0,3.0,0.0,3.0,2.5
전라북도,완판본문화관,전주시,3.0,2210080003.0,45.0,4.5,0.0,2.0,4.0
전라북도,어진박물관,전주시,2.0,2210080009.0,30.0,5.0,0.0,1.0,5.0
전라북도,최명희문학관,전주시,3.0,2210070006.0,30.0,5.0,0.0,1.0,3.0
전라북도,한옥마을주민자치협의회,전주시,8.0,2210080002.0,30.0,5.0,0.0,1.0,5.0
전라남도,테테루테마파크,담양군,6.0,2210090006.0,120.0,4.0,0.0,2.0,4.0
전라남도,담빛마술극장,담양군,3.0,2210090004.0,60.0,4.0,0.0,2.0,4.0
전라북도,순창발효테마파크,순창군,6.0,2210090007.0,90.0,3.5,0.0,1.75,3.25
전라북도,두암초당,고창군,1.0,2210100005.0,30.0,4.0,0.0,1.0,4.0
전라북도,치명자산성지,전주시,2.0,2210090004.0,30.0,4.0,0.0,2.5,4.0
전라북도,숲정이성지,전주시,2.0,2210090007.0,30.0,4.5,0.0,2.5,4.5
충청남도,진산성지,금산군,2.0,2210080003.0,30.0,4.5,0.0,2.5,4.5
전라북도,여산성지성당,익산시,2.0,2210080006.0,30.0,4.0,0.0,2.0,4.0
전라남도,곡성성당,곡성군,2.0,2210090001.0,30.0,4.0,0.0,2.0,4.0
전라남도,용마루길,담양군,1.0,2210310005.0,30.0,5.0,0.0,3.0,5.0
전라북도,창림동두부마을,순창군,7.0,2210230003.0,60.0,3.0,1.0,3.0,3.0
충청북도,미래지농촌테마공원,청주시,6.0,2210010003.0,120.0,5.0,1.0,1.0,5.0
